"Time","1","2","3","4","5","6","Sample"
0,0,0,0,0,0,0,"65C"
108,2.12,2.29,2.4,2.31,3.14,3.59,"65C"
241,2.7,3.24,3.61,3.48,4.33,5.55,"65C"
534,3.52,4.16,4.35,5.51,5.92,5.92,"65C"
839,4.25,4.86,5.09,6.2,7.22,7.68,"65C"
1074,5.55,5.74,5.5,7.31,8.14,8.61,"65C"
1350,6.12,6.85,7.03,7.96,9.07,10.37,"65C"
1637,6.75,NA,8.24,8.57,9.44,11.11,"65C"
1890,7.22,7.4,8.81,9.07,10.09,12.22,"65C"
2178,7.68,8.14,9.629,10.46,11.2,13.51,"65C"
2513,8.46,9.25,10.27,11.48,12.77,14.16,"65C"
2810,9.46,10.55,11.11,12.31,13.51,15,"65C"
0,0,0,0,0,0,0,"85C"
46,2.77,3.88,3.18,3.61,3.42,5.27,"85C"
108,4.62,4.37,4.53,4.37,4.25,5.92,"85C"
212,5.83,6.29,6.94,6.29,7.31,8.05,"85C"
408,6.66,7.77,8.14,7.87,8.61,9.81,"85C"
632,8.05,9.16,8.79,9.35,10.18,12.4,"85C"
764,10.61,9.9,10.09,11.48,12.03,13.24,"85C"
1011,11.2,10.37,11.11,12.4,13.7,15.83,"85C"
1333,11.98,12.77,14.72,13.7,15.27,17.59,"85C"
1517,13.33,14.72,16.47,15.37,17.22,20.09,"85C"
2586,15.64,16.8,18.66,18.51,19.25,23.51,"85C"
0,0,0,0,0,0,0,"100C"
46,4.25,4.81,5.09,4.81,5.64,4.72,"100C"
108,5.18,6.16,7.03,7.5,6.57,8.14,"100C"
212,8.33,7.68,8.33,9.16,8.61,10.18,"100C"
344,9.53,9.25,10.37,10.55,12.5,12.4,"100C"
446,11.48,10.37,12.22,13.51,14.44,15.09,"100C"
626,13.14,12.4,14.35,15.55,16.57,17.22,"100C"
729,15.55,15,16.11,16.57,18.7,19.16,"100C"
879,16.94,16.2,18.7,19.07,21.2,21.57,"100C"
1005,18.05,18.24,19.72,20.27,22.59,24.35,"100C"
1218,19.44,20.09,21.66,22.4,24.07,26.2,"100C"
